Language_ID,Feature_ID,IPA,Value
Lezgi,yoke,wek,36
NTab,yoke,jirkkaɣa,36
Agul,yoke,jarkkwax,36
Tsaxur,yoke,oʕk,36
Kryz,yoke,ukar,36
Archi,yoke,oƛ',36
Udi,yoke,oq'ʕ ,36
Xinalug,yoke,ing,36
Chechen,pig,hʕaqa,37
Ingush,pig,hʕaqa,37
Bats,pig,qa,37
Avar,pig,boton,37
Tindi,pig,boɬon,37
Tsez,pig,baʕƛo,37
Hunzib,pig,buƛu,37
Lak,pig,burk',37
Lezgi,pig,wak,37
Agul,pig,wakk,37
Tsaxur,pig,wok,37
Kryz,pig,vak,37
Archi,pig,boʕƛ',37
Udi,pig,boq'ʕ,37
Chechen,ashes,juq',38
Ingush,ashes,joq',38
Avar,ashes,roqo,38
Andi,ashes,ƛ'e,38
Cham,ashes,ƛ'ej,38
Tsez,ashes,noʕƛu,38
Xvarshi,ashes,jõƛu,38
Hunzib,ashes,jẽƛu,38
Bezhta,ashes,jãƛo,38
Lak,ashes,k'wa,38
Lezgi,ashes,rüq,38
NTab,ashes,ruqqʕu,38
Agul,ashes,ruqqʕ,38
Rutul,ashes,ryqʕ,38
Kryz,ashes,räq,38
Archi,ashes,diq'ʕ,38
Udi,ashes,ǯeq',38
Xinalug,ashes,zäk',38
Chechen,back,buq',39
Ingush,back,buq',39
Bats,back,buq',39
Avar,back,muɣ,39
Andi,back,miɣul,39
Akhvakh,back,raqqw'aƛi,39
Cham,back,beq'uƛ,39
Tindi,back,bexuma,39
Ginux,back,moqoli,39
Hunzib,back,myqər,39
Bezhta,back,miqaro,39
Lak,back,muq'a-v,39
Dargi,back,muʕ,39
Lezgi,back,juq',39
NTab,back,q'ʕal,39
Agul,back,jiq'ʕar,39
Rutul,back,jyq'ʕ,39
Kryz,back,jiq',39
Chechen,road,niaq',40
Ingush,road,niq',40
Bats,road,niq',40
Andi,road,miq'i,40
Akhvakh,road,miqq'i,40
Cham,road,miq',40
Tindi,road,miq'i,40
Lezgi,road,räq,40
NTab,road,raqqʕa,40
Agul,road,raqqʕ,40
Rutul,road,raqʕ,40
Archi,road,deq'ʕ,40
Udi,road,jaq',40
Chechen,dry,D=eq'a,42
Ingush,dry,D=aq'a,42
Avar,dry,b=uq'ara=b,42
Andi,dry,b=eq'ub,42
Akhvakh,dry,buqq'ada,42
Cham,dry,b=eq'u=b,42
Tsez,dry,quqqäwi,42
Xvarshi,dry,quqqu,42
Hunzib,dry,qoqoru,42
Lak,dry,q'a=w=q'ussa,42
Dargi,dry,j=erɣubze,42
Lezgi,dry,"q""urq""ur",42
Lezgi,dry,q'uraj,42
NTab,dry,qquru-,42
Agul,dry,urqqar,42
Rutul,dry,Gurud,42
Archi,dry,q'urettu=t,42
Udi,dry,q'ari,42
Xinalug,dry,q'ii,42
Chechen,sun,maalx,43
Ingush,sun,maalx,43
Bats,sun,matx,43
Avar,sun,baq',43
Andi,sun,miɬi,43
Cham,sun,miɬ,43
Tindi,sun,miɬi,43
Tsez,sun,buq,43
Bezhta,sun,boq,43
Lak,sun,barɣ,43
Dargi,sun,bare,43
Lezgi,sun,raɣ,43
NTab,sun,riɣ,43
Agul,sun,raʕ,43
Rutul,sun,wiriɣ,43
Kryz,sun,viraɣ,43
Archi,sun,barq,43
Udi,sun,beɣʕ,43
Xinalug,sun,ynq',43
Chechen,moon,butt,44
Ingush,moon,butt,44
Bats,moon,butt,44
Avar,moon,moc',44
Andi,moon,borcc'i,44
Akhvakh,moon,bocc'o,44
Cham,moon,bos',44
Tindi,moon,bocu,44
Tsez,moon,buci,44
Bezhta,moon,boco,44
Lak,moon,barz,44
Dargi,moon,bacc,44
Lezgi,moon,warz,44
NTab,moon,waʒa,44
Agul,moon,waz,44
Rutul,moon,waz,44
Tsaxur,moon,waz,44
Kryz,moon,väz,44
Archi,moon,bac,44
Xinalug,moon,vac',44
Chechen,tongue,mott,45
Ingush,tongue,mott,45
Bats,tongue,mott',45
Avar,tongue,mac',45
Andi,tongue,micc'i,45
Akhvakh,tongue,micc'i,45
Cham,tongue,mis',45
Tindi,tongue,mici,45
Bezhta,tongue,mic,45
Lak,tongue,maz,45
Dargi,tongue,mecc,45
Lezgi,tongue,mez,45
NTab,tongue,milʒi,45
Agul,tongue,mez,45
Rutul,tongue,miz,45
Kryz,tongue,mez,45
Archi,tongue,mac,45
Udi,tongue,muz,45
Xinalug,tongue,mic',45
Chechen,nettle,nitt,46
Ingush,nettle,nitt,46
Bats,nettle,nitt',46
Avar,nettle,mic',46
Andi,nettle,mičč'i,46
Akhvakh,nettle,micc'i,46
Cham,nettle,mis,46
Tindi,nettle,mičča,46
Tsez,nettle,meča,46
Bezhta,nettle,mič,46
Lak,nettle,miʕč',46
Dargi,nettle,mucce,46
NTab,nettle,warci,46
Agul,nettle,merʒw,46
Kryz,nettle,meʒ,46
Archi,nettle,mač,46
Udi,nettle,məč',46
Xinalug,nettle,məč',46
Chechen,round,gorga,48
Ingush,round,gerga,48
Bats,round,gogrĩ,48
Avar,round,gurgina=b,48
Andi,round,gurguma,48
Akhvakh,round,gĩgada,48
Cham,round,gurgina=b,48
Tsez,round,gelmač'u,48
Xvarshi,round,gyrma,48
Hunzib,round,gerdu,48
Lak,round,kkurkkissa,48
Dargi,round,gulgulze,48
NTab,round,c'igurgumi,48
Agul,round,gilgenf,48
Tsaxur,round,gyrgara=D,48
Kryz,round,gurgum,48
Archi,round,gukkittu=D,48
Udi,round,k'ank'oroj,48
Xinalug,round,gongozly,48
Chechen,frost,jis,50
Ingush,frost,jis,50
Avar,frost,šwi,50
Akhvakh,frost,aša,50
Cham,frost,asa,50
Tindi,frost,asa,50
Bezhta,frost,ãza,50
Lak,frost,sil,50
Dargi,frost,siris,50
Rutul,frost,syrsyr,50
Tsaxur,frost,zib,50
Archi,frost,sel,50
Chechen,year,sho,51
Ingush,year,shu,51
Avar,year,šon,51
Andi,year,rešin,51
Akhvakh,year,reše,51
Cham,year,jehĩ,51
Lak,year,šin,51
Dargi,year,duss,51
Lezgi,year,jys,51
NTab,year,jizi,51
Agul,year,iss,51
Rutul,year,sen,51
Kryz,year,sän,51
Archi,year,ssan,51
Udi,year,usen,51
Xinalug,year,üs,51
Chechen,bear,cha,52
Ingush,bear,cha,52
Bats,bear,cha,52
Avar,bear,ši,52
Andi,bear,seji,52
Akhvakh,bear,šiĩ,52
Cham,bear,sehĩ,52
Tindi,bear,siĩ,52
Tsez,bear,ze,52
Hunzib,bear,sy,52
Bezhta,bear,sii,52
Lak,bear,cuša,52
Dargi,bear,ssika,52
Lezgi,bear,sew,52
NTab,bear,swe,52
Rutul,bear,sih,52
Kryz,bear,sar,52
Udi,bear,šuje,52
Xinalug,bear,psə,52
Chechen,wool,txa,53
Ingush,wool,txa,53
Bats,wool,txe,53
Hunzib,wool,ɬũ,53
Bezhta,wool,ɬu,53
NTab,wool,xaj,53
Agul,wool,šši,53
Tsaxur,wool,xa,53
Archi,wool,oɬ,53
Udi,wool,xa,53
Xinalug,wool,kxa,53
Chechen,water,xi,54
Ingush,water,xii,54
Bats,water,xi,54
Avar,water,ɬim,54
Andi,water,ɬɬen,54
Cham,water,ɬɬii̥,54
Tindi,water,ɬɬen,54
Tsez,water,ɬi,54
Xvarshi,water,ɬõ,54
Hunzib,water,ɬyN,54
Lak,water,ššin,54
Dargi,water,šin,54
Lezgi,water,jad,54
NTab,water,šaj,54
Agul,water,šer,54
Rutul,water,xed,54
Kryz,water,xäd,54
Archi,water,ɬɬan,54
Udi,water,xe,54
Xinalug,water,xu,54
Chechen,long,D=eexa,55
Ingush,long,D=ʕeaxa,55
Bats,long,D=axxeẽ ,55
Avar,long,xalada=b,55
Andi,long,w=oxxula,55
Akhvakh,long,b=axxada,55
Cham,long,b=exxila=b,55
Tindi,long,b=exxala=b,55
Tsez,long,b=exora,55
Xvarshi,long,b=yxala,55
Bezhta,long,b=ixalo,55
Lak,long,arxnu,55
Dargi,long,hara-qil,55
Tab,long,jarxi,55
Agul,long,jirxer,55
Rutul,long,xulexdy,55
Tsaxur,long,xyllii=n,55
Kryz,long,ʕaxti,55
Budux,long,ʕapxu,55
Archi,long,laaxattu=t,55
Udi,long,boxoj,55
Xinalug,long,v=ixä,55
Chechen,break,D=uox,56
Ingush,break,D=uox,56
Avar,break,b=ixx-ize,56
Andi,break,b=exx-idu,56
Akhvakh,break,b=axxuruča,56
Lak,break,zixxin,56
Chechen,apple,hʕaemc,57
Ingush,apple,hʕamasjk,57
Akhvakh,apple,ʕeče,57
Dargi,apple,ʕinc,57
Chechen,apple,hʕaach,58
Ingush,apple,hʕach,58
Avar,apple,ʕič,58
Andi,apple,inči,58
Cham,apple,eš,58
Tindi,apple,eči,58
Tsez,apple,heneš,58
Lak,apple,hičw,58
Lezgi,apple,ič,58
NTab,apple,waʕč,58
Agul,apple,heč,58
Rutul,apple,eč,58
Kryz,apple,ječ,58
Archi,apple,aʕnʃ,58
Udi,apple,eʃʕ,58
Xinalug,apple,muč,58
Chechen,weave,maasha,60
Ingush,weave,maasha,60
Avar,weave,=es,60
Andi,weave,-ešši,60
Cham,weave,issi,60
Tindi,weave,išš,60
Tsez,weave,riša,60
Hunzib,weave,reša,60
Lak,weave,ššašš,60
Dargi,weave,=erš,60
Lezgi,weave,aruš-un,60
Chechen,eye,bʕaer-g,62
Ingush,eye,bʕar-jg,62
Bats,eye,bʕark',62
Avar,eye,ber,62
Hunzib,eye,hare,62
Bezhta,eye,hʕäre,62
Dargi,eye,ʕule,62
Lezgi,eye,ul,62
NTab,eye,ul,62
Agul,eye,il,62
Rutul,eye,ul,62
